population,short.description,year,group,total,total.low.CI,total.high.CI,male,male.low.CI,male.high.CI,female,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
adults,Definite confidence and trust in GP,2013,75+,86.3,82.6,89.3,83.6,75.2,89.5,88.4,85,91.1,186000,178000,193000
adults,Definite confidence and trust in GP,2013,Maori,75.7,72.7,78.5,75.7,70.2,80.5,75.7,71.1,79.8,160000,153000,166000
adults,Definite confidence and trust in GP,2013,Pacific,80.1,74.6,84.6,76.2,64.2,85.2,83.1,76.8,88,69000,64000,73000
adults,Definite confidence and trust in GP,2013,Asian,79.5,74.7,83.5,83.5,75.1,89.4,76.3,70.1,81.6,124000,117000,131000
adults,Definite confidence and trust in GP,2013,European/Other,81,79.6,82.4,79.7,76.9,82.3,82,80.3,83.6,1127000,1107000,1146000
adults,Definite confidence and trust in GP,2013,Quintile 1,86.4,83.1,89.2,83.1,76,88.4,88.8,85.5,91.4,314000,302000,324000
adults,Definite confidence and trust in GP,2013,Quintile 2,80.9,77.7,83.7,80.6,75.5,84.8,81.1,76.9,84.7,275000,264000,285000
adults,Definite confidence and trust in GP,2013,Quintile 3,76.6,73.7,79.2,75.5,69.5,80.6,77.4,74.2,80.3,266000,256000,275000
adults,Definite confidence and trust in GP,2013,Quintile 4,80.5,77.6,83,80,74.8,84.3,80.8,77.3,83.9,280000,270000,289000
adults,Definite confidence and trust in GP,2013,Quintile 5,77.1,74.4,79.6,78.1,74.3,81.4,76.4,73,79.5,256000,248000,265000
adults,Definite confidence and trust in GP,2014,Total,80,78.5,81.4,81.4,79.5,83.2,78.9,76.9,80.7,1406000,1380000,1430000
adults,Definite confidence and trust in GP,2014,15-24,77.1,71.7,81.7,81.5,73.9,87.2,73.7,66.2,80,177000,165000,187000
adults,Definite confidence and trust in GP,2014,25-34,75.6,71.7,79.2,76.1,68.8,82.1,75.4,70.4,79.8,170000,161000,178000
adults,Definite confidence and trust in GP,2014,35-44,75.9,71.7,79.6,77,70.3,82.6,75.1,69.5,79.9,176000,166000,185000
adults,Definite confidence and trust in GP,2014,45-54,79.4,75.4,82.9,80.1,75,84.3,78.9,73.4,83.5,233000,221000,243000
adults,Definite confidence and trust in GP,2014,55-64,81,77.5,84.1,81.1,75.4,85.7,81,76.5,84.7,244000,233000,253000
adults,Definite confidence and trust in GP,2014,65-74,85.2,82.2,87.7,85.7,81.6,89,84.7,80.4,88.1,216000,208000,222000
adults,Definite confidence and trust in GP,2014,75+,85.2,82.5,87.5,87.7,83.6,90.9,83.4,79.5,86.6,191000,185000,196000
adults,Definite confidence and trust in GP,2014,Maori,74.4,71.2,77.3,75.5,69.5,80.6,73.6,69.8,77,157000,150000,163000
adults,Definite confidence and trust in GP,2014,Pacific,75.8,69.1,81.4,74.1,63.1,82.7,77.3,68.9,83.9,69000,63000,74000
adults,Definite confidence and trust in GP,2014,Asian,75.1,69.4,80,77.9,69.2,84.7,72.9,65.3,79.3,120000,111000,128000
adults,Definite confidence and trust in GP,2014,European/Other,81.2,79.5,82.8,82.8,80.7,84.8,79.9,77.8,81.9,1146000,1122000,1168000
adults,Definite confidence and trust in GP,2014,Quintile 1,81,77.3,84.2,82.7,77.5,86.9,79.3,73.5,84.2,279000,266000,290000
adults,Definite confidence and trust in GP,2014,Quintile 2,82.7,78.8,86.1,85,80.2,88.8,80.9,75.3,85.5,279000,266000,290000
adults,Definite confidence and trust in GP,2014,Quintile 3,79.3,75.6,82.6,83,77.9,87.1,76.9,72.4,80.8,274000,261000,286000
adults,Definite confidence and trust in GP,2014,Quintile 4,78.1,74.7,81.3,77.2,72.5,81.2,78.9,74.5,82.6,290000,277000,302000
adults,Definite confidence and trust in GP,2014,Quintile 5,79.1,76.8,81.2,79.5,75.8,82.8,78.7,76.1,81.2,284000,276000,292000
adults,Definite confidence and trust in GP,2015,Total,79.2,77.9,80.5,81.6,79.6,83.4,77.4,75.5,79.2,1438000,1414000,1461000
adults,Definite confidence and trust in GP,2015,15-24,72.8,67.6,77.5,77.8,69.7,84.2,69.2,61.9,75.7,174000,161000,185000
adults,Definite confidence and trust in GP,2015,25-34,72.3,68.9,75.4,79.6,74,84.3,67.5,62.5,72.2,164000,156000,171000
adults,Definite confidence and trust in GP,2015,35-44,75.8,72.2,79,75.1,67.7,81.3,76.3,71.5,80.4,186000,177000,194000
adults,Definite confidence and trust in GP,2015,45-54,77.3,73.6,80.6,80,74.3,84.7,75.1,70.2,79.4,232000,220000,242000
adults,Definite confidence and trust in GP,2015,55-64,82.7,79.8,85.3,84.4,80.2,87.9,81.1,77.5,84.3,257000,248000,265000
adults,Definite confidence and trust in GP,2015,65-74,86.1,83.4,88.4,85.8,81.5,89.3,86.4,82.8,89.4,230000,223000,236000
adults,Definite confidence and trust in GP,2015,75+,86.5,84,88.6,86,81.9,89.3,86.9,83.6,89.5,197000,191000,202000
adults,Definite confidence and trust in GP,2015,Maori,74.6,71.3,77.5,81,75.6,85.4,70,65.4,74.2,166000,158000,172000
adults,Definite confidence and trust in GP,2015,Pacific,74.8,68.6,80,74.3,63.5,82.8,75,66.5,82,81000,74000,86000
adults,Definite confidence and trust in GP,2015,Asian,70.5,65.5,75.1,74.3,67.4,80.1,67,59.6,73.7,125000,116000,133000
adults,Definite confidence and trust in GP,2015,European/Other,80.8,79.3,82.3,83.1,80.9,85.1,79,77,81,1163000,1140000,1184000
adults,Definite confidence and trust in GP,2015,Quintile 1,85.9,82.6,88.6,88.6,84,91.9,83.4,78.5,87.4,297000,286000,306000
adults,Definite confidence and trust in GP,2015,Quintile 2,80.3,77.3,83,82.1,78.1,85.6,78.8,73.7,83.1,290000,279000,299000
adults,Definite confidence and trust in GP,2015,Quintile 3,76.7,74,79.2,79.9,75.1,84,74.3,70.7,77.6,278000,268000,287000
adults,Definite confidence and trust in GP,2015,Quintile 4,78.2,74.8,81.3,79.9,74.7,84.3,76.9,72.7,80.6,305000,292000,317000
adults,Definite confidence and trust in GP,2015,Quintile 5,75.5,72.1,78.5,76.9,71.6,81.4,74.3,70.4,77.8,269000,257000,279000
adults,Definite confidence and trust in GP,2016,Total,79.5,78.2,80.7,80.5,78.7,82.2,78.7,76.8,80.4,1443000,1420000,1465000
adults,Definite confidence and trust in GP,2016,15-24,72.3,67.4,76.8,75,66.5,82,70.3,63.7,76.2,172000,160000,182000
adults,Definite confidence and trust in GP,2016,25-34,71,66.6,75.1,70.1,62.1,77.1,71.6,66.5,76.2,180000,169000,191000
adults,Definite confidence and trust in GP,2016,35-44,78.7,74.7,82.2,77.6,70.3,83.4,79.4,74.7,83.4,163000,155000,170000
adults,Definite confidence and trust in GP,2016,45-54,79.3,76.1,82.1,79.2,73.1,84.3,79.3,74.8,83.3,242000,232000,250000
adults,Definite confidence and trust in GP,2016,55-64,83,80.1,85.6,86.6,82.9,89.7,79.8,75.5,83.4,253000,245000,261000
adults,Definite confidence and trust in GP,2016,65-74,84.6,81.8,87,83.5,79.4,86.9,85.6,81.8,88.7,231000,224000,238000
adults,Definite confidence and trust in GP,2016,75+,86.2,83.1,88.8,87,82.6,90.5,85.6,81.5,88.9,201000,194000,207000
adults,Definite confidence and trust in GP,2016,Maori,77.3,74.7,79.6,77.4,72.6,81.6,77.1,73.8,80.2,170000,165000,175000
adults,Definite confidence and trust in GP,2016,Pacific,71.6,66.9,75.9,69.3,60.9,76.6,73.5,67,79.2,77000,72000,82000
adults,Definite confidence and trust in GP,2016,Asian,75.3,69.9,80,79,70.5,85.6,72.2,65.8,77.8,120000,112000,128000
adults,Definite confidence and trust in GP,2016,European/Other,80.5,79.2,81.7,81.6,79.5,83.5,79.6,77.6,81.5,1175000,1156000,1194000
adults,Definite confidence and trust in GP,2016,Quintile 1,81.4,77.9,84.5,83.9,78.4,88.2,79.4,74.2,83.7,284000,271000,294000
adults,Definite confidence and trust in GP,2016,Quintile 2,81.7,77.8,85,84.3,79.6,88,79.6,74.5,83.9,290000,276000,302000
adults,Definite confidence and trust in GP,2016,Quintile 3,80.7,77.1,83.9,80.2,75,84.4,81.1,76.8,84.8,298000,285000,310000
adults,Definite confidence and trust in GP,2016,Quintile 4,78.7,76.2,81,79.1,75.6,82.2,78.3,74.6,81.7,3.00E+05,291000,309000
adults,Definite confidence and trust in GP,2016,Quintile 5,75,72.1,77.6,75,70.8,78.9,74.9,71,78.5,271000,260000,280000
adults,Current smokers,2011,Total,18.2,17.2,19.2,19,17.6,20.4,17.5,16.4,18.7,636000,601000,672000
adults,Current smokers,2011,15-17,8.1,5.9,11.1,9,5.6,14.3,7.2,4.5,11.3,16000,11000,21000
adults,Current smokers,2011,18-24,27.3,23.9,30.9,24.6,20.1,29.7,30,25.5,35,118000,103000,134000
adults,Current smokers,2011,15-24,21.4,18.8,24.3,19.8,16.1,24,23.1,19.8,26.7,133000,117000,152000
adults,Current smokers,2011,25-34,27.8,24.8,31.1,30.7,26.1,35.7,25.2,21.8,28.9,151000,135000,169000
adults,Current smokers,2011,35-44,21.7,19.6,23.9,20.9,17.8,24.3,22.4,19.7,25.4,131000,119000,145000
adults,Current smokers,2011,45-54,16.6,14.6,18.8,17.6,14.7,20.8,15.6,13.1,18.5,103000,91000,117000
adults,Current smokers,2011,55-64,14.7,12.9,16.9,16.9,13.5,21,12.7,10.6,15.2,74000,65000,85000
adults,Current smokers,2011,65-74,9.1,7.6,10.9,10.7,8.4,13.6,7.6,5.9,9.7,31000,25000,37000
adults,Current smokers,2011,75+,4.6,3.2,6.2,4.3,2.2,7.5,4.8,3,7.1,12000,8000,16000
adults,Current smokers,2011,Maori,40.2,37.3,43.2,36.4,32.1,40.9,43.7,40.5,47,179000,166000,192000
adults,Current smokers,2011,Pacific,25.9,22.8,29.2,27.5,22.2,33.5,24.5,20.4,29.2,52000,46000,59000
adults,Current smokers,2011,Asian,9.4,7.3,11.9,17.3,13.5,21.8,2.4,1.4,3.7,35000,27000,44000
adults,Current smokers,2011,European/Other,16.5,15.5,17.7,17.1,15.7,18.6,16.1,14.7,17.5,455000,426000,486000
adults,Current smokers,2011,Quintile 1,10.5,9.1,12.1,11.7,9.5,14.3,9.2,7.1,11.9,75000,65000,87000
adults,Current smokers,2011,Quintile 2,13.3,11.5,15.4,14.6,11.8,18,12,10.1,14.3,95000,81000,110000
adults,Current smokers,2011,Quintile 3,17.9,15.8,20.3,19.4,16.6,22.5,16.6,14.1,19.4,126000,111000,143000
adults,Current smokers,2011,Quintile 4,22.4,20,25,23.2,19.7,27,21.7,19.2,24.4,156000,139000,174000
adults,Current smokers,2011,Quintile 5,27.7,25.5,29.9,28,25,31.2,27.4,24.7,30.4,184000,169000,199000
adults,Current smokers,2012,Total,17.7,16.8,18.6,18.8,17.5,20.2,16.7,15.6,17.8,623000,592000,656000
adults,Current smokers,2012,15-17,8.1,5.5,11.8,10,5.8,16.5,6.1,3.6,10.3,15000,10000,22000
adults,Current smokers,2012,18-24,24,20.7,27.7,23.6,19,28.8,24.5,20.5,28.9,106000,91000,122000
adults,Current smokers,2012,15-24,19.3,16.9,21.9,19.5,16.1,23.4,19.1,16.4,22.1,121000,106000,137000
adults,Current smokers,2012,25-34,24.8,22.5,27.3,27.4,23.8,31.2,22.4,19.2,26,136000,123000,149000
adults,Current smokers,2012,35-44,20.8,19,22.8,24.4,20.8,28.4,17.6,15.4,20,124000,113000,136000
adults,Current smokers,2012,45-54,20.4,18.4,22.5,19.6,17,22.6,21.1,18.1,24.4,127000,115000,140000
adults,Current smokers,2012,55-64,15.1,13.2,17.2,15.3,12.2,19,14.9,12.4,17.7,77000,67000,88000
adults,Current smokers,2012,65-74,7.9,6.4,9.6,8.2,6,11.2,7.5,5.7,9.9,28000,23000,34000
adults,Current smokers,2012,75+,4.2,3.2,5.4,4.5,2.8,6.8,3.9,2.7,5.5,11000,8000,14000
adults,Current smokers,2012,Maori,39.1,36.7,41.6,35.9,32.1,39.9,42,39.3,44.7,178000,167000,189000
adults,Current smokers,2012,Pacific,24.6,20.7,29,26.9,22,32.5,22.6,17.8,28.3,48000,40000,57000
adults,Current smokers,2012,Asian,10.2,7.8,13,15.6,11.4,20.9,4.4,2.8,6.6,39000,30000,50000
adults,Current smokers,2012,European/Other,15.5,14.4,16.6,16.6,15.1,18.1,14.4,13.2,15.7,418000,390000,448000
adults,Current smokers,2012,Quintile 1,11.1,9,13.6,13.8,10.1,18.5,8.6,6.5,11.2,80000,65000,98000
adults,Current smokers,2012,Quintile 2,12.7,10.8,14.8,14.2,11.8,17,11.1,8.8,13.9,91000,78000,107000
adults,Current smokers,2012,Quintile 3,15.6,14,17.5,17.2,14.7,20.1,14.1,12,16.5,112000,1.00E+05,125000
adults,Current smokers,2012,Quintile 4,19.8,17.7,22.1,20.2,17.4,23.3,19.5,17,22.2,140000,125000,156000
adults,Current smokers,2012,Quintile 5,30.4,28.1,32.8,30.6,27.3,34.2,30.2,27.5,33.1,2.00E+05,185000,216000
adults,Current smokers,2013,Total,17.4,16.6,18.3,19.2,17.8,20.6,15.8,14.9,16.7,623000,592000,654000
adults,Current smokers,2013,15-17,8.4,5.8,12,11.7,7.5,17.7,4.8,2.5,8.1,16000,11000,23000
adults,Current smokers,2013,18-24,23.8,20.9,26.9,26.4,21.9,31.5,21.1,17.2,25.6,105000,93000,119000
adults,Current smokers,2013,15-24,19.1,17,21.4,21.8,18.3,25.8,16.4,13.5,19.7,122000,108000,136000
adults,Current smokers,2013,25-34,26,23.6,28.5,28.5,25.1,32.2,23.6,20.8,26.7,146000,133000,160000
adults,Current smokers,2013,35-44,18.6,16.8,20.4,19.3,16.5,22.4,17.9,15.7,20.3,109000,99000,120000
adults,Current smokers,2013,45-54,21.3,19.3,23.4,22.9,19.7,26.5,19.8,17.5,22.3,133000,121000,147000
adults,Current smokers,2013,55-64,13.8,12.1,15.7,15,12.2,18.2,12.7,10.4,15.3,72000,63000,82000
adults,Current smokers,2013,65-74,8.2,6.8,9.9,9.6,7,12.9,6.9,5.5,8.6,30000,25000,37000
adults,Current smokers,2013,75+,3.8,2.4,5.6,3.9,2.1,6.7,3.7,1.9,6.2,10000,7000,15000
adults,Current smokers,2013,Maori,40.9,38.4,43.4,40.1,35.8,44.6,41.5,38.6,44.5,189000,178000,201000
adults,Current smokers,2013,Pacific,24.7,20.5,29.3,28.1,21.4,35.8,21.4,17.1,26.5,47000,39000,55000
adults,Current smokers,2013,Asian,8.3,6.4,10.5,14.1,11.1,17.9,2.6,1.4,4.3,35000,27000,44000
adults,Current smokers,2013,European/Other,15.3,14.3,16.3,16.4,15,18,14.2,13.2,15.4,421000,394000,449000
adults,Current smokers,2013,Quintile 1,7.3,5.6,9.3,8.9,6.7,11.8,5.7,3.9,8.3,53000,41000,67000
adults,Current smokers,2013,Quintile 2,12.3,10.7,14.1,14.5,12.2,17.1,10.1,8.1,12.6,90000,78000,103000
adults,Current smokers,2013,Quintile 3,16.1,13.9,18.5,19.2,15.5,23.5,13.2,11.2,15.4,118000,102000,136000
adults,Current smokers,2013,Quintile 4,21.1,19.2,23,22.4,19.9,25,19.9,17.9,22.1,150000,137000,164000
adults,Current smokers,2013,Quintile 5,31.4,29,33.9,32.2,28.8,35.8,30.7,27.7,33.8,212000,196000,229000
adults,Current smokers,2014,Total,16.6,15.8,17.3,18.2,17.1,19.4,15,14.1,16,605000,577000,633000
adults,Current smokers,2014,15-17,6.1,4.1,8.9,6.8,3.9,11.6,5.4,3.4,8.4,12000,8000,17000
adults,Current smokers,2014,18-24,23.8,20.8,27.1,26.8,22,32.2,20.5,17.1,24.4,109000,95000,124000
adults,Current smokers,2014,15-24,18.5,16.4,20.9,21.1,17.6,25.2,15.8,13.4,18.5,121000,107000,136000
adults,Current smokers,2014,25-34,22.9,20.7,25.4,26,22.2,30.2,20,17.4,22.9,135000,122000,150000
adults,Current smokers,2014,35-44,18.2,16.6,19.9,20.1,17.5,23,16.4,14.6,18.5,106000,97000,116000
adults,Current smokers,2014,45-54,19.2,17.2,21.4,19.8,16.8,23.1,18.6,16,21.5,121000,109000,135000
adults,Current smokers,2014,55-64,14.9,13,16.9,15.2,12.5,18.3,14.6,12.3,17.2,79000,69000,90000
adults,Current smokers,2014,65-74,8.7,7.3,10.3,9.4,7.3,12.1,8,6.2,10.2,33000,28000,40000
adults,Current smokers,2014,75+,3.2,2.2,4.4,2.9,1.8,4.5,3.3,2.1,5.1,9000,6000,12000
adults,Current smokers,2014,Maori,38.1,35.5,40.7,34,30.3,37.8,41.8,38.5,45.2,180000,168000,193000
adults,Current smokers,2014,Pacific,24.7,21.7,28,26.5,21.7,31.9,23.1,19.3,27.4,50000,43000,56000
adults,Current smokers,2014,Asian,6.4,4.8,8.5,10.7,7.6,15,2.1,1.2,3.4,28000,21000,37000
adults,Current smokers,2014,European/Other,15.1,14.1,16,17.2,15.8,18.6,13.1,12,14.2,423000,397000,451000
adults,Current smokers,2014,Quintile 1,9.4,7.8,11.3,10.7,8.4,13.6,8,6.3,10.2,69000,58000,83000
adults,Current smokers,2014,Quintile 2,10.5,9.1,12,11.8,9.4,14.6,9.3,7.5,11.4,77000,67000,88000
adults,Current smokers,2014,Quintile 3,15.7,14.1,17.5,18.6,16,21.6,13.1,11,15.5,118000,106000,132000
adults,Current smokers,2014,Quintile 4,19.9,17.9,22,23.6,20.5,26.9,16.7,14.4,19.3,145000,131000,161000
adults,Current smokers,2014,Quintile 5,27.8,25.6,30.2,27.4,24.3,30.8,28.2,25.7,30.8,195000,179000,212000
adults,Current smokers,2015,Total,16.3,15.5,17.2,18.1,16.9,19.2,14.6,13.7,15.6,610000,578000,642000
adults,Current smokers,2015,15-17,6.1,4.2,8.7,4.6,2.3,8,7.7,4.9,11.8,12000,8000,17000
adults,Current smokers,2015,18-24,22.7,19.8,25.8,28.8,24,34.2,16.1,12.8,20,106000,92000,120000
adults,Current smokers,2015,15-24,17.7,15.6,20,21.6,18.4,25.2,13.5,11.1,16.4,118000,104000,133000
adults,Current smokers,2015,25-34,23.2,21,25.6,23.2,20.2,26.5,23.2,20.3,26.4,145000,131000,160000
adults,Current smokers,2015,35-44,18,16.1,20.2,21.2,18.2,24.4,15.2,13.1,17.5,105000,93000,117000
adults,Current smokers,2015,45-54,17.8,15.8,20,19.2,16.7,22.1,16.4,14.1,19.1,113000,1.00E+05,127000
adults,Current smokers,2015,55-64,14.2,12.5,16,16.2,13.6,19.2,12.3,10.3,14.6,78000,69000,88000
adults,Current smokers,2015,65-74,9.7,8.1,11.6,8.9,6.9,11.4,10.6,8.2,13.5,39000,32000,46000
adults,Current smokers,2015,75+,4.5,2.8,6.7,4.4,2.3,7.4,4.6,2.7,7.3,13000,8000,19000
adults,Current smokers,2015,Maori,38.6,35.8,41.4,37.3,33.2,41.5,39.7,36.4,43.2,186000,173000,2.00E+05
adults,Current smokers,2015,Pacific,25.5,21.7,29.7,27.9,21.7,35,23.5,18.9,28.8,57000,48000,66000
adults,Current smokers,2015,Asian,9.1,7.3,11.2,15.6,12.5,19.4,2,1,3.5,41000,33000,50000
adults,Current smokers,2015,European/Other,14.5,13.6,15.6,16,14.7,17.3,13.2,12.1,14.4,419000,391000,448000
adults,Current smokers,2015,Quintile 1,8.1,6.1,10.5,11.1,8.2,14.8,5.1,3.7,6.9,60000,46000,79000
adults,Current smokers,2015,Quintile 2,11.8,10.1,13.7,13.4,11.1,16.2,10.2,8.3,12.5,89000,77000,104000
adults,Current smokers,2015,Quintile 3,15.1,13.7,16.7,17.5,15.2,20.1,12.7,11,14.6,116000,105000,128000
adults,Current smokers,2015,Quintile 4,19.2,17.1,21.4,20.4,17.9,23.1,18.2,15.8,20.9,146000,130000,163000
adults,Current smokers,2015,Quintile 5,28,25.8,30.3,29.2,26,32.6,26.9,24.6,29.3,198000,183000,215000
adults,Current smokers,2016,Total,15.7,15,16.5,17.4,16.2,18.7,14.1,13.2,15.1,602000,573000,633000
adults,Current smokers,2016,15-17,3.9,2.2,6.5,4.4,1.6,9.4,3.5,1.5,6.8,8000,4000,13000
adults,Current smokers,2016,18-24,20,17.6,22.8,20.4,16.7,24.6,19.7,16.5,23.3,96000,84000,109000
adults,Current smokers,2016,15-24,15.4,13.5,17.4,15.8,13,19.1,14.9,12.6,17.6,103000,91000,117000
adults,Current smokers,2016,25-34,21.1,18.9,23.5,26.2,22.3,30.6,16.1,13.9,18.7,140000,125000,156000
adults,Current smokers,2016,35-44,19.8,17.9,21.9,20.8,17.4,24.5,19,16.7,21.6,115000,104000,127000
adults,Current smokers,2016,45-54,18.3,16.4,20.4,19.7,16.6,23.3,17,14.7,19.6,117000,105000,130000
adults,Current smokers,2016,55-64,14.7,13.1,16.3,15.4,12.9,18.2,14,11.9,16.4,83000,74000,92000
adults,Current smokers,2016,65-74,8,6.8,9.4,8.9,7.2,10.9,7.2,5.6,9.2,33000,28000,39000
adults,Current smokers,2016,75+,3.8,2.7,5,4.5,2.8,6.9,3.2,2.1,4.5,11000,8000,15000
adults,Current smokers,2016,Maori,35.3,33,37.7,32.2,28.8,35.7,38.2,35.1,41.3,174000,163000,186000
adults,Current smokers,2016,Pacific,24.5,21.1,28.2,27.6,22.8,33.1,21.5,17,26.9,57000,49000,66000
adults,Current smokers,2016,Asian,8.2,6.4,10.5,13.1,9.9,17,2.7,1.4,4.6,40000,31000,51000
adults,Current smokers,2016,European/Other,14.2,13.3,15.1,15.6,14.3,17.1,12.8,11.8,14,416000,391000,442000
adults,Current smokers,2016,Quintile 1,8.2,6.6,10.3,9.5,6.9,12.9,7,5.1,9.6,63000,51000,79000
adults,Current smokers,2016,Quintile 2,10.6,9,12.4,12.8,10.3,15.9,8.4,6.7,10.4,82000,70000,96000
adults,Current smokers,2016,Quintile 3,14.5,12.7,16.4,17,14.4,20,12,10.3,14,113000,99000,128000
adults,Current smokers,2016,Quintile 4,19.3,17.3,21.6,21.8,18.7,25.4,16.9,14.5,19.5,151000,135000,168000
adults,Current smokers,2016,Quintile 5,26.6,24.4,28.9,27,23.8,30.5,26.2,23.5,29.2,193000,177000,211000
adults,Daily smokers,2011,Total,16.3,15.3,17.2,16.7,15.4,18.2,15.8,14.7,16.9,567000,536000,601000
adults,Daily smokers,2011,15-17,6.4,4.6,8.9,6,3.5,10.3,6.8,4.1,10.9,12000,9000,17000
adults,Daily smokers,2011,18-24,24.3,21.2,27.7,22,17.9,26.7,26.7,22.5,31.3,105000,92000,120000
adults,Daily smokers,2011,15-24,18.8,16.4,21.5,17,13.8,20.8,20.6,17.5,24.1,117000,102000,134000
adults,Daily smokers,2011,25-34,24.8,21.8,28.2,27.6,22.9,32.9,22.2,19.1,25.8,135000,118000,153000
adults,Daily smokers,2011,35-44,19.3,17.5,21.3,18.7,15.9,21.9,19.9,17.5,22.4,117000,106000,129000
adults,Daily smokers,2011,45-54,14.9,13.1,17,15.1,12.7,18,14.8,12.3,17.7,93000,82000,106000
adults,Daily smokers,2011,55-64,13.2,11.5,15.2,14.6,11.5,18.4,11.8,9.7,14.3,66000,58000,76000
adults,Daily smokers,2011,65-74,8.2,6.9,9.8,9.8,7.7,12.4,6.7,5.3,8.5,28000,23000,33000
adults,Daily smokers,2011,75+,4.5,3.2,6.1,4.3,2.2,7.5,4.6,2.9,6.9,12000,8000,16000
adults,Daily smokers,2011,Maori,37.7,34.7,40.7,34.5,30.2,39,40.6,37.4,43.9,167000,154000,181000
adults,Daily smokers,2011,Pacific,22.6,19.3,26.3,24.5,19,31,21,16.9,25.7,45000,39000,53000
adults,Daily smokers,2011,Asian,7.8,5.8,10.5,14.2,10.6,18.8,2.2,1.3,3.6,29000,22000,39000
adults,Daily smokers,2011,European/Other,14.6,13.7,15.6,15,13.7,16.4,14.3,13.1,15.6,402000,376000,430000
adults,Daily smokers,2011,Quintile 1,8.8,7.5,10.3,9.1,7.3,11.3,8.5,6.4,11.2,63000,54000,74000
adults,Daily smokers,2011,Quintile 2,11.3,9.7,13.1,12.6,10.1,15.7,9.9,8.2,11.8,80000,69000,93000
adults,Daily smokers,2011,Quintile 3,15.5,13.6,17.7,16.9,14.4,19.7,14.3,12,16.9,109000,95000,125000
adults,Daily smokers,2011,Quintile 4,20.6,18.2,23.1,21.2,17.7,25.2,20,17.7,22.5,143000,127000,161000
adults,Daily smokers,2011,Quintile 5,25.9,23.8,28.1,26,23.1,29.2,25.8,23.1,28.6,172000,158000,186000
adults,Daily smokers,2012,Total,15.6,14.8,16.6,16.2,14.9,17.6,15.1,14,16.2,551000,520000,583000
adults,Daily smokers,2012,15-17,7,4.6,10.4,8,4.3,14.1,5.9,3.4,10.1,13000,9000,19000
adults,Daily smokers,2012,18-24,20.1,17,23.5,19.2,15.1,24.1,20.9,17.3,25.1,88000,75000,103000
adults,Daily smokers,2012,15-24,16.2,13.9,18.7,15.8,12.7,19.5,16.5,13.9,19.5,101000,87000,117000
adults,Daily smokers,2012,25-34,21.7,19.4,24.1,23.4,20.1,27.1,20,16.8,23.6,118000,106000,132000
adults,Daily smokers,2012,35-44,18.4,16.8,20.2,21.3,18,25,15.9,13.8,18.2,110000,1.00E+05,120000
adults,Daily smokers,2012,45-54,18.3,16.4,20.4,16.7,14.4,19.3,19.8,16.9,23.1,114000,102000,127000
adults,Daily smokers,2012,55-64,13.7,11.9,15.7,14.1,11.1,17.8,13.3,11.1,15.9,70000,61000,80000
adults,Daily smokers,2012,65-74,7.6,6.1,9.4,7.7,5.5,10.6,7.5,5.6,9.8,27000,22000,33000
adults,Daily smokers,2012,75+,3.8,2.8,5,4.1,2.4,6.3,3.6,2.4,5.1,10000,7000,13000
adults,Daily smokers,2012,Maori,36.2,33.8,38.6,33.4,29.5,37.5,38.7,36.1,41.3,164000,153000,175000
adults,Daily smokers,2012,Pacific,22,18.4,26,23.4,18.8,28.8,20.8,16.2,26.2,43000,36000,51000
adults,Daily smokers,2012,Asian,8.5,6.2,11.6,13.9,9.8,19.3,2.9,1.6,4.8,33000,24000,44000
adults,Daily smokers,2012,European/Other,13.5,12.5,14.6,13.9,12.5,15.5,13.1,11.9,14.3,364000,337000,394000
adults,Daily smokers,2012,Quintile 1,9.7,7.8,12,11.7,8.4,16.1,7.7,5.7,10.3,69000,56000,86000
adults,Daily smokers,2012,Quintile 2,10.4,8.6,12.4,11,8.8,13.7,9.7,7.5,12.6,75000,62000,90000
adults,Daily smokers,2012,Quintile 3,13.5,11.9,15.3,14.9,12.5,17.6,12.2,10.1,14.6,97000,85000,110000
adults,Daily smokers,2012,Quintile 4,17.4,15.3,19.7,17,14.3,20.1,17.7,15.3,20.3,122000,108000,139000
adults,Daily smokers,2012,Quintile 5,28.4,26.2,30.7,28.6,25.4,31.9,28.3,25.6,31.2,187000,173000,202000
adults,Daily smokers,2013,Total,15.7,14.9,16.6,17.2,15.9,18.7,14.3,13.4,15.2,562000,532000,593000
adults,Daily smokers,2013,15-17,7.7,5.2,11.3,10.6,6.5,16.7,4.4,2.3,7.7,15000,10000,22000
adults,Daily smokers,2013,18-24,20.6,18,23.6,22.3,17.9,27.3,19,15.4,23.2,92000,80000,105000
adults,Daily smokers,2013,15-24,16.7,14.8,18.9,18.6,15.3,22.5,14.8,12.2,17.8,106000,94000,120000
adults,Daily smokers,2013,25-34,21.9,19.8,24.2,24.6,21.6,27.9,19.4,16.8,22.3,123000,111000,136000
adults,Daily smokers,2013,35-44,17.3,15.6,19,17.9,15.3,20.8,16.7,14.6,19.1,102000,92000,112000
adults,Daily smokers,2013,45-54,19.7,17.6,22,21,17.8,24.7,18.5,16.3,21,124000,111000,138000
adults,Daily smokers,2013,55-64,13.2,11.5,15.1,14.6,11.9,17.9,11.9,9.8,14.3,69000,60000,79000
adults,Daily smokers,2013,65-74,7.7,6.3,9.3,8.8,6.3,12,6.7,5.3,8.3,28000,23000,35000
